,Product Url,Image,Image1,Image2,Image3,Vendor,Sku Styleisnow,Season,Year,SKU,Variant,Color detail,Color Supplier,Made in,Material,Product's Title,Description,Tags,Qty,Retail Price,Discount,Size,Qty Detail,Handle height,Shoulder bag length,Belt length,Belt height,Accessory length,Accessory height,Accessory weight,Heel height,Plateau height,Barcode,Compare to Price,Qty_Detail,SKU FULL
6034,https://www.styleisnow.com/business/pumps-gianvito-rossi-241530nsd000004-meko.html,,http://cdn.orderlink.it/foto/241530G9532285RICMET/G9532285RICMETisv-13.jpg,http://cdn.orderlink.it/foto/241530G9532285RICMET/G9532285RICMETldd-14.jpg,http://cdn.orderlink.it/foto/241530G9532285RICMET/G9532285RICMETzen-16.jpg,Gianvito Rossi,241530NSD000004-MEKO,Fall - Winter,2024,G95322 85RIC MET,MEKO,Oro,MEKONG,Italy,100% bos taurus,jaipur slingback pumps,"Gianvito Rossi Jaipur slingback pumps made of laminated leather and embellished with handcrafted, tone-on-tone central maxi gemstone. Adjustable strap, leather insole, stiletto heel and leather sole.",Woman > Shoes > Pumps,1,1350.0,48.00%,38,"0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"85.0 mm / 3.3""",0,8051704030932,930.0,2,241530NSD000004-MEKO-38
11509,https://www.styleisnow.com/business/moccasins-tod-s-241727lmo000002-s611m.html,,http://cdn.orderlink.it/foto/241727XXM0GW05470N6M/XXM0GW05470N6Mhjs-13.jpg,http://cdn.orderlink.it/foto/241727XXM0GW05470N6M/XXM0GW05470N6Mkwa-14.jpg,http://cdn.orderlink.it/foto/241727XXM0GW05470N6M/XXM0GW05470N6Mdcc-16.jpg,Tod'S,241727LMO000002-S611M,Spring - Summer,2024,XXM0GW05470N6M,S611M,Marrone,MARRONE AFRICA,Italy,100% calfskin,'city gommino' loafers,"Tod's City Gommino leather loafers with 360 lacing. Monogram embossed on tongue, leather interior andiconic rubber outsole with embossed rubber pebbles.",Man > Shoes > Loafers,1,705.0,48.00%,8,"0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,0,0,0,490.0,2,241727LMO000002-S611M-8
11949,https://www.styleisnow.com/business/birkenstock-241568xsd000010-trwht.html,,http://cdn.orderlink.it/foto/2415681019046/1019046wgw-13.jpg,http://cdn.orderlink.it/foto/2415681019046/1019046gpr-14.jpg,http://cdn.orderlink.it/foto/2415681019046/1019046lmk-16.jpg,Birkenstock,241568XSD000010-TRWHT,Spring - Summer,2024,1019046,TRWHT,Bianco,TRIPLES WHITE,Germany,100% Birko-Flor,arizona slides narrow fit,"BIRKENSTOCK Arizona slides crafted in Birko-Flor featuring double adjustable strap with lacquered branded buckle. Faux leather footbed, moulded cork and latex sole and EVA tread. Narrow fit.",Unisex > Calzature unisex > Mules,1,130.0,37.00%,38,"0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,0,0,822698706466,90.0,2,241568XSD000010-TRWHT-38
12099,https://www.styleisnow.com/business/wallets-pinko-241783apg000005-z99q.html,,http://cdn.orderlink.it/foto/231783100249A0F1/100249A0F1bqe-13.jpg,http://cdn.orderlink.it/foto/231783100249A0F1/100249A0F1qwo-14.jpg,http://cdn.orderlink.it/foto/231783100249A0F1/100249A0F1udx-15.jpg,Pinko,241783APG000005-Z99Q,Spring - Summer,2024,100249 A0F1,Z99Q,Nero,NERO ANTIQUE GOLD,China,100% calf leather,leather zip-around wallet,"Pinko's zip-around wallet made of leather and featuring iconic Love Birds Diamond Cut. Leather interior with two bill compartments a coin pocket, three credit card slots and two slit pockets. Antique gold-finished metalware.",Woman > Accessories > Wallets and Small Leather Goods > Wallets,1,185.0,57.00%,os,15,,,0.0,0,"12,5 cm",10 cm,0,0,,8055209877405,130.0,15,241783APG000005-Z99Q-os
16354,https://www.styleisnow.com/business/t-shirts-and-polo-shirts-simone-rocha-241911dts000001-whtpw.html,http://cdn.orderlink.it/foto/2419115220B0553/5220B0553wbn-20.jpg,http://cdn.orderlink.it/foto/2419115220B0553/5220B0553her-13.jpg,http://cdn.orderlink.it/foto/2419115220B0553/5220B0553qrc-14.jpg,http://cdn.orderlink.it/foto/2419115220B0553/5220B0553vng-15.jpg,Simone Rocha,241911DTS000001-WHTPW,Spring - Summer,2024,5220B 0553,WHTPW,Bianco,WHITE PEARL,Portugal,100% CO,puff sleeves t-shirt,"Simone Rocha t-shirt in pure cotton jersey, with short tulle puff sleeves enriched by satin bows and micro ribbed crew neck enriched with beads trimming on front. Regular fit with flared cut. The model is 177 cm and wears a size XS.",Woman > Clothing > Tops and Sweatshirts > T-shirts and Polo shirts,14,570.0,52.00%,xs,"0,2,1,0,2,0,0,0,0",,,,,,,,0,,5391544057250,390.0,2,241911DTS000001-WHTPW-xs
18935,https://www.styleisnow.com/business/sweaters-ganni-241671dma000003-033.html,http://cdn.orderlink.it/foto/241671K2125/K2125hhj-20.jpg,http://cdn.orderlink.it/foto/241671K2125/K2125npp-13.jpg,http://cdn.orderlink.it/foto/241671K2125/K2125uxx-14.jpg,http://cdn.orderlink.it/foto/241671K2125/K2125ddz-15.jpg,Ganni,241671DMA000003-033,Spring - Summer,2024,K2125,033,Celeste,POWDER BLUE,Italy,52% WS 32% PA 13% WO 3% EA,"""brushed alpaca","This GANNI pullover is made of brushed alpaca blend yarn with embroidered contrast logo lettering. It features a crew neck, ribbed edges, and a regular fit. The model is 177 cm tall and wears size XS.",Woman > Clothing > Knitwear > Sweaters,1,290.0,44.00%,s,"1,2,2,0,1,0,0,0,0",,,,,,,,0,,5714667612616,200.0,2,241671DMA000003-033-s
21539,https://www.styleisnow.com/business/sneakers-tom-ford-241390lsn000002-3gw02.html,,http://cdn.orderlink.it/foto/241390J1292LCL394N/J1292LCL394Ndgo-13.jpg,http://cdn.orderlink.it/foto/241390J1292LCL394N/J1292LCL394Nwdf-14.jpg,http://cdn.orderlink.it/foto/241390J1292LCL394N/J1292LCL394Ngwy-16.jpg,Tom Ford,241390LSN000002-3GW02,Spring - Summer,2024,J1292 LCL394N,3GW02,Beige,SILVER CREAM,Italy,60%calf leather 40%PA,james sneakers in lycra and suede leather,"The James sneakers by Tom Ford are made of lycra with suede leather inserts and a printed lettering logo on the side. The smooth leather side stripe and branded spoiler, along with the textured rubber insert on the back, add a touch of style to these shoes. They also feature a logo label on the tongue, a sponge interior with a removable insole, and a rubber sole with a protruding branded insert on the back.",Man > Shoes > Sneakers,1,1015.0,44.00%,8,"0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0",,,,,,,,"45.0 mm / 1.8""",0,8056896402710,700.0,2,241390LSN000002-3GW02-8
23985,https://www.styleisnow.com/business/tops-self-portrait-241632dto000020-black.html,http://cdn.orderlink.it/foto/241632SS24196TB/SS24196TBslx-20.jpg,http://cdn.orderlink.it/foto/241632SS24196TB/SS24196TBjtr-13.jpg,http://cdn.orderlink.it/foto/241632SS24196TB/SS24196TBfga-14.jpg,http://cdn.orderlink.it/foto/241632SS24196TB/SS24196TBkwc-15.jpg,Self-Portrait,241632DTO000020-BLACK,Spring - Summer,2024,SS24 196T B,BLACK,Nero,BLACK,China,100%CO,off-shoulder top with sangallo,"This Self-Portrait crop top features a bandeau design with off-shoulder poet sleeves in broderie anglaise lace. Made of cotton, the bodice has a pleated criss-cross pattern on the front that creates a sweetheart neckline, with a smocked back. The model is 177 cm tall and wears a UK size 8.",Woman > Clothing > Tops and Sweatshirts > Tops,2,385.0,48.00%,8,"0,0,1,2,0,0,0,0,0,0",,,,,,,,0,,5059939136101,270.0,2,241632DTO000020-BLACK-8
27924,https://www.styleisnow.com/business/sandals-castaner-241652nwe000005-2017.html,,http://cdn.orderlink.it/foto/211652CARINA8002/CARINA8002eue-13.jpg,http://cdn.orderlink.it/foto/211652CARINA8002/CARINA8002mxz-14.jpg,http://cdn.orderlink.it/foto/211652CARINA8002/CARINA8002slc-16.jpg,Castaner,241652NWE000005-2017,Spring - Summer,2024,CARINA 8 002,2017,Neutro,SAND,Spain,100% CO,carina wedge espadrilles,"Carina handmade espadrilles by Castaner with front faded canvas upper and contrasting heel with ribbon tied at the ankle. Wedge covered in braided rope, canvas interior, rubber sole.",Woman > Shoes > Sandals,1,135.0,48.00%,39,"0,0,0,0,4,0,5,0,10,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"80.0 mm / 3.1""","1,5 cm",8434483576684,90.0,6,241652NWE000005-2017-39
28828,https://www.styleisnow.com/business/wallets-burberry-241481apg000004-c9534.html,,http://cdn.orderlink.it/foto/2414818070598/8070598ubd-13.jpg,http://cdn.orderlink.it/foto/2414818070598/8070598xkz-14.jpg,http://cdn.orderlink.it/foto/2414818070598/8070598tnk-15.jpg,Burberry,241481APG000004-C9534,Fall - Winter,2024,8070598,C9534,Beige,VINT CHCK BRIR BROWN,Moldova,71%PU 16%PL 12%CO 1%PC,large zip-around check wallet,"Burberry wallet in faux leather with iconic Check pattern and zip-around closure. Leather-lined interior with two gusseted compartments, a central zippered branded canvas-lined pocket, twelve card slots, two flat pockets and finished with gold-tone lettering logo print and contrasting topstitching. Gold-finished metalware.",Woman > Accessories > Wallets and Small Leather Goods > Wallets,5,705.0,40.00%,os,2,,,0.0,0,20 cm,"10,5 cm",2 cm,0,,5045701926858,490.0,2,241481APG000004-C9534-os
28873,https://www.styleisnow.com/business/belts-salvatore-ferragamo-241400fcr000023-179.html,,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946wqe-13.jpg,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946dru-14.jpg,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946rps-15.jpg,Ferragamo,241400FCR000023-179,Spring - Summer,2024,6755420773946,179,Marrone,RADICA NERO,Italy,100% calf leather,reversible gancini,This reversible FERRAGAMo belt is made of hammered leather with a matte ruthenium Gancini buckle. The item in the photo corresponds to size 105.,Man > Accessories > Belts,1,580.0,42.00%,105,"0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0",,,0.0,"3,5 cm",0,0,0,0,,8056283706469,400.0,13,241400FCR000023-179-105
28875,https://www.styleisnow.com/business/belts-salvatore-ferragamo-241400fcr000023-179.html,,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946wqe-13.jpg,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946dru-14.jpg,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946rps-15.jpg,Ferragamo,241400FCR000023-179,Spring - Summer,2024,6755420773946,179,Marrone,RADICA NERO,Italy,100% calf leather,reversible gancini,This reversible FERRAGAMo belt is made of hammered leather with a matte ruthenium Gancini buckle. The item in the photo corresponds to size 105.,Man > Accessories > Belts,12,580.0,42.00%,115,"0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0",,,0.0,"3,5 cm",0,0,0,0,,8056283706483,400.0,18,241400FCR000023-179-115
36055,https://www.styleisnow.com/business/polo-shirts-boss-241249upl000004-002.html,http://cdn.orderlink.it/foto/24124950515596/50515596ulb-20.jpg,http://cdn.orderlink.it/foto/24124950515596/50515596gtq-13.jpg,http://cdn.orderlink.it/foto/24124950515596/50515596ggk-14.jpg,http://cdn.orderlink.it/foto/24124950515596/50515596jjy-15.jpg,Boss,241249UPL000004-002,Spring - Summer,2024,50515596,002,Nero,BLACK,Turkey,100% CO,mercerized cotton polo shirt,"This short-sleeved Boss polo is made of mercerized cotton jersey and features a rubber logo application on the chest. Finished with a knitted collar and sleeve cuffs, it has a three-button closure and side slits. Regular fit. The model is 187 cm tall and wears size L.",Man > Clothing > T-Shirts and Sweatshirts > Polo shirts,17,165.0,52.00%,s,"0,0,2,0,0,0,0,0,0,0,0,0",,,,,,,,0,,4063542435279,120.0,2,241249UPL000004-002-s
36066,https://www.styleisnow.com/business/t-shirts-boss-241249uts000002-100.html,http://cdn.orderlink.it/foto/24124950495742/50495742aak-20.jpg,http://cdn.orderlink.it/foto/24124950495742/50495742nqh-13.jpg,http://cdn.orderlink.it/foto/24124950495742/50495742okd-14.jpg,http://cdn.orderlink.it/foto/24124950495742/50495742ywl-15.jpg,Boss,241249UTS000002-100,Spring - Summer,2024,50495742,100,Bianco,WHITE,Bangladesh,100% CO,tiburt 354 logo print t-shirt,Short-sleeved t-shirt in cotton jersey with macro Boss logo printed at the front. Finished with ribbed stretch crew neck. Regular fit. The model is 187 cm tall and wears a size L.,Man > Clothing > T-Shirts and Sweatshirts > T-shirts,2,105.0,51.99%,m,"1,1,2,1,0,0,0,0,0,0,0,0",,,,,,,,0,,4063537914208,70.0,1,241249UTS000002-100-m
43238,https://www.styleisnow.com/business/boots-versace-232417nsv000001-1b00v.html,,http://cdn.orderlink.it/foto/2324171010174DVT2P/1010174DVT2Przq-13.jpg,http://cdn.orderlink.it/foto/2324171010174DVT2P/1010174DVT2Pqfo-14.jpg,http://cdn.orderlink.it/foto/2324171010174DVT2P/1010174DVT2Pnqy-16.jpg,Versace,232417NSV000001-1B00V,Spring - Summer,2024,1010174 DVT2P,1B00V,Nero,BLACK VERSACE GOLD,Italy,100% calf leather,'aevitas' boots,"Leather ""Aevitas"" boots by Versace with side zippered closure and Medusa detail on the zip-puller. Maxi heel and platform, leather interior and sole.",Woman > Shoes > Boots and booties > Boots,1,1270.0,46.00%,37,"0,0,0,0,1,0,2,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"120.0 mm / 4.7""","3,5 cm",8056204382086,880.0,2,232417NSV000001-1B00V-37
55653,https://www.styleisnow.com/business/sneakers-alexander-mcqueen-242527nsn000006-1070.html,,http://cdn.orderlink.it/foto/242527697072W4MV2/697072W4MV2yct-13.jpg,http://cdn.orderlink.it/foto/242527697072W4MV2/697072W4MV2bak-14.jpg,http://cdn.orderlink.it/foto/242527697072W4MV2/697072W4MV2ikj-16.jpg,Alexander Mcqueen,242527NSN000006-1070,Fall - Winter,2024,697072 W4MV2,1070,Bianco,BLACK WHITE,Italy,100% CO,tread slick sneakers,"Alexander McQueen cotton canvas sneakers with tonal rubber toe and base. They feature the embossed logo on the side, silver-tone metal eyelets, back logo tab and silver-printed logo on the tongue. Leather lining, rubber sole. Extra laces included.",Woman > Shoes > Sneakers,1,705.0,35.00%,36,"0,0,0,0,3,0,9,0,11,0,11,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"45.0 mm / 1.8""",0,0,490.0,3,242527NSN000006-1070-36
